title,author,book_description,
사랑의 생애,이승우,"먼저 사랑한다고 고백해올 때는 거절했던 대학 후배 선희가 이 년 십 개월 만에 뒤늦게 사랑이었다는 걸 깨닫는 형배. 형배에게 상처받은 마음을 겨우 추스르고 감정 정리까지 끝냈는데 이제 와서 제멋대로 사랑한다고 고백하는 형배가 당황스럽기만 한 선희. 공적인 관계였을 뿐인데 우연히 형배 대역으로 선희의 등단 축하 자리에 동석해주고 선희의 주문에 따라 “사랑해요, 나도”라고 말했다가 정말로 선희를 사랑하게 되어버린 영석. 이들에게 도대체 무슨 일이 일어나 그때 그 순간 하필, 선희가 먼저 형배를 사랑하기 시작하고, 형배가 뒤늦게 선희에 대한 사랑을 자각하지만, 선희는 이제 영석을 사랑하게 됐을까?",
신이 떠나도,윤이나,"『신이 떠나도』는 사주팔자, 작명, 태몽 등은 물론이고 우리의 일상에 깊숙이 스며들어 있는 무속(명당 찾기, 개업 혹은 바퀴 달린 것을 들일 때는 고사 지내기, 문지방 밟지 않기, 밤에 손톱 깎지 않기, 숫자 4 피하기, 손 없는 날 이사하기, 이사할 집에는 밥솥부터 옮기기, 깨진 거울은 집 안에 두지 않기, 빨간색으로 이름 쓰지 않기 등등)을 소재로 유연하게 끌어오면서 시종일관 유쾌한 톤으로 달려간다. 책장이 넘어가는 놀라운 속도에 당황하지 마시라. 생의 갈피마다 숨겨져 있던 진실을 펼쳐보이는 본격 샤머니즘 휴먼 힐링 드라마.",
크리스마스 캐럴,찰스 디킨스," 에버니저 스크루지는 크리스마스이브에 세 개의 유령을 만나며 자신의 과거와 현재, 미래를 돌아보게 된다. 과거의 유령은 스크루지가 젊었을 때 버린 인간적 감정과 순수함을, 현재의 유령은 그의 주변에 존재하는 소박하지만 따뜻한 인간관계를, 그리고 미래의 유령은 그가 변화하지 않을 경우 맞이하게 될 비극적 최후를 보여 준다. 디킨스는 스크루지의 내면 풍경을 섬세하게 묘사하며, 자본주의 사회에서 상실된 인간성을 회복하는 과정을 놀라울 만큼 일관되게 그려낸다.",
변신,프란츠 카프카,주인공이 벌레로 변해 가족들에게 외면당하고 버려지는 상황은 현실을 살아가는 우리들의 슬픈 자화상이 된다. 자신의 방을 벗어나지 못하고 있다가 방 밖으로 나가려고 시도하는 장면은 가족 구성원의 역할을 유지하고 싶어 하는 몸부림이다. 하지만 가족들은 흉측한 해충으로 변해서 아무런 도움이 되지 않는 그를 외면하고 결국 감금해버린다. 이 장면은 가족에게 실질적인 도움이 되지 못하면 그저 짐덩이로 전락해버리는 뼈아픈 현실을 냉정하게 반영한 것이다.,
도시와 그 불확실한 벽,무라카미 하루키,"어느 날, ‘고야스’의 미스터리한 비밀이 밝혀지고 ‘M소년’이 행방불명되면서 ‘나’는 현실과 비현실의 경계에서 혼란스러움을 느낀다. 그리고 ‘산간 지방의 한적한 도서관’과 ‘벽으로 둘러싸인 도시’의 경계에서 부유하듯 살아가던 ‘나’는 이제 이러한 생활에도 끝이 필요하다는 것을 감지한다. 단 하나의 분명한 진실과 현상을 갈구하는 일이 무의미한 경계, 인간의 믿음이 끊임없이 시험당하는 그 경계에서 과연 ‘나’는 어떤 선택을 하게 될까?
",
폭풍의 언덕,에밀리 브론테,"『폭풍의 언덕』은 황량한 들판 위의 외딴 저택 워더링 하이츠를 무대로 벌어지는 캐서린과 히스클리프의 비극적인 사랑, 에드거와 이사벨을 향한 히스클리프의 잔인한 복수를 그렸다.",
참을 수 없는 존재의 가벼움,밀란 쿤데라,"토마시와의 만남을 운명이라고 생각하는 테레자는 고향을 떠나 그의 집에 머문다. 테레자는 토마시를 운명이라고 생각하지만, 진지한 사랑을 부담스러워하던 토마시는 끊임없이 다른 여자들을 만난다. 스스로가 ‘에로틱한 우정’이라고 이름 붙인 그 ‘가벼움’을 토마시는 버릴 수가 없다. 소련의 침공으로 체코가 자유를 잃은 후, 두 사람은 함께 스위스로 넘어간다. 체코를 벗어나면 토마시의 연인들로부터도 벗어날 수 있을 거라 믿었던 테레자는, 그 믿음을 잃은 후 홀로 국경을 넘어 프라하로 돌아간다. 질투와 미움이 뒤섞인 두 사람의 삶은 그렇게 점차 무게를 더해 간다.",
,남아 있는 나날,가즈오 이시구로,"육 일간의 여행 내내 스티븐스는 자신에게 각별했던 그녀에게서 받은 편지를 한 줄 한 줄 읊으며 지난날을 회상한다. 켄턴 양은 적극적으로 스티븐스에게 다가섰고 스티븐스 또한 그녀에게 사사로운 감정이 있었으나, 그는 집사라는 직업에 충실하기 위해 애써 자신의 마음을 외면해 왔다. 결국 그녀는 그의 마음을 얻는 데 실패하고 다른 남자와 결혼하기에 이른다.
황혼을 맞이한 지금에야, 달링턴 홀의 전성기에 함께 일한 짧은 시간 동안 실은 그녀를 진실로 사랑했음을 깨닫는다. 하지만 그는 그녀와 재회했을 때조차 진심으로 하고 싶었던 말은 가슴에 묻어 둔 채, 그녀를 또 한 번 떠나보낸다."
,페스트,알베르 카뮈,"페스트'라는 비극적인 현실 속에서 의연히 운명과 대결하는 인간의 모습을 그린 이 작품은 20세기 문학이 남긴 기념비적인 고전으로 꼽힌다. 무서운 전염병이 휩쓴 폐쇄된 도시에서 재앙에 대응하는 사람들의 각기 다른 모습이 묘사된다. 인물들은 재앙에 대처하는 서로 다른 태도를 드러내 보인다. 그들의 모습을 통해 절망과 맞서는 것은 결국 행복에 대한 의지이며, 잔혹한 현실과 죽음 앞에서도 희망을 놓지 않는 것이야말로 이 부조리한 세상에 대한 진정한 반항임을 이야기한다."
,맥베스,월리엄 셰익스피어," 맥베스와 뱅코 장군에게 세 마녀는 머지않아 맥베스가 스코틀랜드의 왕위에 오르고 뱅코의 자손이 왕이 되리라고 예언한다. 이에 맥베스는 크게 동요하고, 욕심 많은 아내와 손을 잡고 일을 도모한다. 결국 덩컨 왕은 맥베스의 성을 방문한 날 밤에 피살되고 두 왕자는 국외로 탈출한다. 맥베스는 도망친 왕자들에게 혐의가 돌아가게끔 흉계를 꾸며 왕위에 오른다. 그리고 마녀들의 예언을 함께 들은 뱅코를 없애기 위해 자객을 보내지만, 뱅코만 살해되고 그의 아들은 도망친다. 얼마 후 새 왕이 된 맥베스의 연회석 상에 뱅코의 망령이 나타나고, 맥베스는 계속 뱅코의 망령에 시달린다. 귀족들까지 자신을 의심하자 맥베스는 마녀들을 찾아가 다시 예언을 내려 줄 것을 청한다."
,농담,밀란 쿤데라,"남녀간의 사랑과 정치적 비판을 함께 미학성과 역사성을 동시에 추구한다. 이 소설에서 쿤데라는 사랑, 우정, 증오, 복수 등 사소한 사적인 삶에서 시작하여, 선의로 출발한 이념일지라도 의도와 다른 결과를 낳을 수 있음을 암시하여 절대 신념과 획일주의를 경고한다. 절대 신념이 인간 개인의 삶을 철저하게 파괴할 수도 있음을 보여 준다."
,이선 프롬,이디스 워튼,애정 없는 결혼 속에서 무기력하게 살아가던 ‘이선’이 내면의 욕망을 자각해 가는 과정을 그린 이 작품은 도덕과 인습이라는 집단적 억압에 맞선 개인의 내면세계를 섬세하게 포착했다는 평가를 받는다. 뉴잉글랜드의 가난한 농부이자 병든 아내의 남편인 이선은 사회적 의무를 대변하는 아내 ‘지나’와 개인의 자유를 상징하는 ‘매티’ 사이에서 그동안 자신이 ‘죽음 속의 삶’을 살아왔음을 깨닫고 절망한다.
,만년,다자이 오사무,"『만년』에는 죽음을 각오한 이십 대 초반의 작가가 유작을 염두에 두고 집필한 열다섯 편의 단편이 실렸다.
대지주의 아들로 태어나 좌익 운동에 가담하면서 태생적인 모순을 안게 된 다자이는 고향 생가와의 불화, 그에 따른 생활고, 자살 기도 후 동반 여성만이 죽은 데 대한 죄책감 등 자신의 젊은 날을 뒤흔들었던 일련의 사건과 관계 들을 솔직하고 시적인 언어로 표현했다."
,나르치스와 골드문트,헤르만 헤세,"『나르치스와 골드문트』는 지성과 감성, 종교와 예술로 대립되는 세계에 속한 두 인물, 나르치스와 골드문트가 나누는 사랑과 우정, 이상과 갈등, 방황과 동경 등 인간의 성장기 체험을 아름답고 순순하게 그려 낸 소설로, 두 사람의 자기 구현 과정을 이중창처럼 묘사하며, 대립적인 두 인물이 서로에게 영향을 주면서 진정한 본성에 이르는 과정을 보여 준다. 뛰어난 자연묘사는 삶과 죽음의 전환과 사랑의 무상함을 명암 있게 드러낸다."
,사양,다자이 오사무,"패전 후 빠르게 몰락해 가는 귀족 집안의 장녀 가즈코는 몸이 쇠약해진 어머니를 모시고 도쿄를 떠나 이즈의 산장으로 거처를 옮긴다. 귀족의 기품을 갖춘 아름다운 어머니지만 경제력에는 무방비 상태로, 삼촌의 도움을 받는 처지라 달리 방도가 없다. 마침 소식이 끊겼던 남동생 나오지도 전쟁터에서 살아 돌아오지만 급변하는 현실에 적응하지 못하고 소설가 우에하라와 함께 어울리며 술과 마약에 빠져 넉넉하지 못한 집안의 돈을 탕진할 뿐이다. 불행한 일들은 끊이지 않는다. 아이들과 함께 무심코 태운 뱀알, 화재, 어머니의 병세 악화, 나오지의 유서, 우에하라를 향한 가즈코의 사랑…"
,치치새가 사는 숲,장진영,"『치치새가 사는 숲』은 한 사람의 과거와 현재가 내는 두 개의 목소리가 겹치고 맞물리며 펼쳐지는 소설이다. 20년 전 ‘치치림’이라는 이름을 새로 얻은 열네 살의 ‘나’와 그때를 돌아보는 현재 ‘나’의 목소리다. 월드컵의 열기가 채 가시지 않은 2003년, 평준화 정책하에 배정받은 최악의 중학교와 그보다 더 최악인 집을 오가며 인정받기 위해 악착같이 애쓰던 화자 앞에 한 남자가 운명처럼 나타난다. 그와의 관계를 ‘사랑’이라 주장하는 과거의 ‘나’와 이를 말없이 지켜보며 심한 가려움증에 고통받는 현재의 ‘나’가 대비되며 분열된다."
,닫힌 방 악마와 선한 신,장 폴 사르트르,"종교개혁과 농민 전쟁 시대의 독일은 2차 세계 대전 후 세상이 뒤바뀌고 있음을 불안해하는 프랑스 사회 전반의 분위기를 대변하며, 16세기 독일 땅에서의 대귀족과 소귀족, 고위 성직자와 말단 성직자, 부르주아와 농민의 대립을 통해서 1950년대 프랑스의 사회적 동요, 양극화된 세상의 출현, 핵무기의 공포 등으로 혼란스러운 시대 상황을 담아 내고 그 속에서 참여하고 행동하는 것이 어떤 것인지를 그린 이 작품이다."
,지하로부터의 수기,표도르 도스토예프스키,자기만의 세계 '지하'에 세상에 대한 싸늘한 경멸을 품은 채 살아온 한 남자의 독백과 경험담이 수기의 형태로 펼쳐진다. 젊은 시절 하급 관리로 사회생활을 했지만 친분 관계도 거의 없이 모든 이들을 혐오하는 남자는 자신을 무시하는 사람들에게 복수할 궁리를 한다. 그러나 실제로는 아무런 행동도 하지 않은 채 지하에 틀어박혀 있다. 세상에 대한 경멸과 증오는 자신을 향한 저주로 바뀌는데…
,모래의 여자,아베 코보,"작품은 한 남자의 실종 사건이 근간이 된다. 
남자는 마을 사람들의 계략으로 여자 혼자 사는 모래 구덩이에 갇히게 되고, 흘러내리는 모래에 집이 파묻혀 버리지 않도록, 마치 쉬지 않고 돌을 굴려야 하는 신화 속의 시지프처럼 매일매일 삽질을 해야만 하는 상황에 처한다. 어이없어 하는 그에게 여자는 자기 혼자서는 그곳 생활을 견디기가 벅차다고 해명한다. 한 집이 붕괴되면 사구에 자리잡은 마을 전체가 붕괴되기 때문에 작업을 멈출 수가 없다고. 절규하며, 수차례 탈출을 시도하는 남자. "
,헌등사,다와다 요코,"「헌등사」는 대지진과 치명적인 원전 사고가 있은 뒤, 태평양 한가운데를 표류하듯 고립된 일본의 모습을 그린다. 도쿄를 비롯해 일본 열도 전역이 황폐해져 기본적인 생활조차 어려워진다. 그날의 사건 이후로 노인들은 죽음을 빼앗긴 채 점점 더 건강해지고, 아이들은 스스로 호흡하기마저 곤란할 정도로 차츰 쇠약해져 간다. 인간의 욕심으로 들끓던 재앙 이전 시대에 태어난 요시로와 태어날 때부터 죽음을 떠안고 살아가는 그의 증손주 무메이는, 이토록 황량하고 아무것도 소망할 수 없는 디스토피아에서 새로운 삶의 방식을 모색하고자 부단히 애쓴다. "
